url                                                                     ,website                       ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,title                                                                                                                                         ,status
https://graphql.api.apollographql.com/api/graphql                       ,https://apollographql.com     ,"Apollo Graph Platform — unify APIs, microservices, &amp; databases into a graph that you can query with GraphQL"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"Apollo GraphQL | Supergraph: unify APIs, microservices, &amp; databases in a composable graph"                                               ,
https://api.webampskins.org/graphql                                     ,https://webampskins.org       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                              ,
https://workshop.chillicream.com/graphql/                               ,https://chillicream.com       ,We help companies and developers to build next level APIs with GraphQL by providing them the right tooling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Home - ChilliCream GraphQL Platform                                                                                                           ,
https://api.blerp.com/graphql                                           ,https://blerp.com             ,"Enhance every live moment with sound! Best gaming Soundboards for Mac OS and Windows. Share the best sound memes and emotes on stream for Twitch, Discord Voice Chats, and Facebook Gaming. Use channel points, bits, or even discord meme soundboards to play sounds for all games. Share the best meme soundboards with blerp using Facebook Gaming, Youtube Gaming, Twitch, Channel Points, Discord Soundboards, and Voice Chats. Use blerp sound effects to create celebrity soundboards and enhance your community! Live every moment with sound. Forge, build, and enhance your communities with Blerp Meme Sound Clips. The best meme sound extension and soundboards alerts for Twitch and Discord voice chats" ,Blerp Audio Clips | Best Meme Soundboard | Soundboard Software | Enhancing Moments                                                            ,
https://kitsu.io/api/graphql                                            ,https://kitsu.io              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                              ,
https://metadata.cloud.getdbt.com/graphql                               ,https://getdbt.com            ,"dbt is a data transformation tool that enables data analysts and engineers to transform, test and document data in the cloud data warehouse."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,dbt - Transform data in your warehouse                                                                                                        ,
https://rickandmortyapi.com/graphql                                     ,https://rickandmortyapi.com   ,The Rick and Morty API is a REST and GraphQL API based on the television show Rick and Morty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,The Rick and Morty API                                                                                                                        ,
https://content.wpgraphql.com/graphql                                   ,https://wpgraphql.com         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                              ,
https://sourcegraph.com/.api/graphql                                    ,https://sourcegraph.com       ,"Sourcegraph is a web-based code search and navigation tool for dev teams. Search, navigate, and review code. Find answers."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Sourcegraph                                                                                                                                   ,
https://littlexgarden.com/graphql                                       ,https://littlexgarden.com     ,"Bienvenue sur Little Garden, ici vous pourrez lire gratuitement et sans pubs toutes sortes de mangas traduits en français sous forme de scans ! Tous les chapitres sont mis à jour chaque semaines et sont si possible mis en couleurs. One Piece, Kingdom, Bleach, Bersek SNK, Death Note et bien plus encore !"                                                                                                                                                                                                                                                                                                                                                                                                       ,Little Garden - Lisez vos scans de mangas en couleurs                                                                                         ,
https://opencollective.com/api/graphql/v2                               ,https://opencollective.com    ,Open Collective is a legal and financial toolbox for groups. It’s a fundraising + legal status + money management platform for your community. What do you want to do?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Loading                                                                                                                                       ,
https://arweave.net/graphql                                             ,https://arweave.net           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                              ,
https://hub.snapshot.org/graphql                                        ,https://snapshot.org          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Snapshot                                                                                                                                      ,
https://graphql.anilist.co/                                             ,https://anilist.co            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,AniList                                                                                                                                       ,
https://api.hicdex.com/v1/graphql                                       ,https://hicdex.com            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,hicdex                                                                                                                                        ,
https://beta.pokeapi.co/graphql/v1beta                                  ,https://pokeapi.co            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Pok&#xE9;API                                                                                                                                  ,
https://newnext.ru/graphql                                              ,https://newnext.ru            ,"newnext - международная глобальная бизнес-сеть, выполняющая функции площадки для бизнеса, объединив пользователей в бизнес-сообщество заинтересованных людей."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,newnext                                                                                                                                       ,
https://singularity.morningbrew.com/graphql                             ,https://morningbrew.com       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                              ,
