slug              ,emailx ,domain              ,url                                                         ,description                                                                                                                                                                                                                                                                                                    ,title
                  ,       ,aimlab.gg           ,api.aimlab.gg/graphql                                       ,"Aim Lab is the aim trainer of choice for over 25 Million players, from beginners to esports pros. Our unique aim analysis optimizes your gameplay, targets your weaknesses & builds key skills for any FPS/TPS game, all for free! Time to warm up with our unlimited scenarios & rank up in-game!"           ,Aim Lab
                  ,       ,hicdex.com          ,api.hicdex.com/v1/graphql                                   ,                                                                                                                                                                                                                                                                                                               ,hicdex
                  ,       ,littlexgarden.com   ,littlexgarden.com/graphql                                   ,"Bienvenue sur Little Garden, ici vous pourrez lire gratuitement et sans pubs toutes sortes de mangas traduits en français sous forme de scans ! Tous les chapitres sont mis à jour chaque semaines et sont si possible mis en couleurs. One Piece, Kingdom, Bleach, Bersek SNK, Death Note et bien plus enco" ,Little Garden - Lisez vos scans de mangas en couleurs
                  ,       ,caida.org           ,api.asrank.caida.org/v2/graphql                             ,"CAIDA conducts network research and builds research infrastructure to support large-scale data collection, curation, and data distribution to the scientific research community."                                                                                                                             ,CAIDA
                  ,       ,prefect.io          ,api.prefect.io/graphql                                      ,                                                                                                                                                                                                                                                                                                               ,Prefect | The New Standard in Dataflow Automation - Prefect
                  ,       ,lowmess.com         ,stats.lowmess.com/graphql                                   ,"My name is Alec Lomas, and I make websites"                                                                                                                                                                                                                                                                   ,Go to homepage
                  ,       ,natwelch.com        ,graphql.natwelch.com/graphql                                ,                                                                                                                                                                                                                                                                                                               ,xxiivv webring
                  ,       ,cirrus-ci.com       ,api.cirrus-ci.com/graphql                                   ,"Cirrus CI makes your development cycle fast, efficient, and secure by leveraging modern cloud technologies."                                                                                                                                                                                                  ,Cirrus CI
                  ,       ,opencollective.com  ,api.opencollective.com/graphql/v2                           ,Open Collective is a legal and financial toolbox for groups. It’s a fundraising + legal status + money management platform for your community. What do you want to do?                                                                                                                                         ,Loading
                  ,       ,knightowl.app       ,knightowl.app/graphql                                       ,                                                                                                                                                                                                                                                                                                               ,Knight Owl
